obs,dataset, balloons,gross_wt,net_wt,purity,age_yrs,gender
1,1,79,742.4,503.2,0.510,NA,NA
2,1,90,901.7,576.9,0.320,NA,NA
3,12,90,800.2,573.3,0.850,38,1
4,12,1,706.2,439.8,0.750,41,1
5,1,5,72.2,23.1,0.620,NA,NA
6,12,44,531.7,296.3,0.560,30,1
7,1,17,240.4,119.2,0.560,NA,NA
8,12,106,954.9,626.1,0.660,31,1
9,12,107,877.0,442.9,0.500,27,1
10,12,76,708.1,365.1,0.620,21,1
11,12,70,620.0,367.0,0.500,28,1
12,12,65,594.4,311.2,0.590,25,1
13,1,90,868.0,549.0,0.920,NA,NA
14,1,81,826.5,406.1,0.550,NA,NA
15,1,69,703.7,457.5,0.410,NA,NA
16,12,90,801.3,547.8,0.560,31,1
17,12,60,548.4,445.0,0.230,29,1
18,12,40,510.5,286.4,0.370,32,1
19,12,90,884.4,587.8,0.690,24,1
20,1,33,355.0,223.7,0.630,NA,NA
21,12,94,1001.2,692.7,0.860,34,1
22,12,67,482.4,286.0,0.460,34,1
23,12,61,580.7,392.2,0.350,29,1
24,12,60,513.1,295.8,0.960,37,1
25,12,69,557.1,303.6,0.470,32,1
26,1,85,585.6,408.0,0.970,NA,NA
27,1,80,573.3,376.0,0.990,NA,NA
28,12,50,489.3,266.6,0.740,24,1
29,12,58,690.2,328.9,0.810,35,1
30,1,104,951.6,640.6,0.880,NA,NA
31,1,29,146.8,100.3,0.620,NA,NA
32,1,117,642.9,339.3,0.660,NA,NA
33,1,22,367.0,195.8,0.900,NA,NA
34,1,8,185.9,63.8,0.940,NA,NA
35,12,39,459.4,272.9,0.490,36,1
36,1,69,845.7,552.1,0.660,NA,NA
37,12,25,484.6,160.6,0.920,26,1
38,12,85,835.7,540.8,0.460,31,1
39,12,45,635.1,313.0,0.400,32,1
40,1,128,1157.4,614.9,0.680,NA,NA
41,1,45,2577.6,2455.0,0.780,NA,NA
42,12,75,761.1,510.0,0.110,29,1
43,12,56,668.2,405.0,0.550,32,1
44,1,60,460.6,236.4,0.660,NA,NA
45,1,30,340.6,185.0,0.520,NA,NA
46,1,28,312.4,182.1,0.520,NA,NA
47,12,79,648.5,421.3,0.800,31,1
48,1,62,NA,436.6,0.034,NA,NA
49,12,49,578.9,247.2,0.660,29,1
50,1,130,1247.8,823.3,0.770,NA,NA
51,12,135,1312.0,895.1,0.500,32,1
